	txHash	timeStamp	direction	tokenSymbol	value	bscContractAddress	epoch	bscSymbol	name	ethSymbol	contract_type	ethContractAddress
212	0x715296b379994563454eaeb3ed9dfc7a788c38acdfa2c92ba18d82ff098fc5a7	2021-02-20 12:08:17	recvd	mooAutoBtc	0.3670495671155179	0xff750ee63f1e428de1d6c8d9d92676b5fc8376a8	1613822897					
213	0x715296b379994563454eaeb3ed9dfc7a788c38acdfa2c92ba18d82ff098fc5a7	2021-02-20 12:08:17	sent	BTCB	0.3682253	0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c	1613822897	BTCB	Bitcoin	BBTC	Binance Bridge	0x9be89d2a4cd102d8fecc6bf9da793be995c22541
214	0xbfb94e3ec3bafcb4cdec027f92e4dcfc9f5ca1414d28e5e32046b42644840c5b	2021-02-20 12:12:23	recvd	BUSD	5083.4821003390925	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613823143	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
215	0xbfb94e3ec3bafcb4cdec027f92e4dcfc9f5ca1414d28e5e32046b42644840c5b	2021-02-20 12:12:23	sent	mooVenusBUSD	4807.995019325916	0x2d3d152b3b94c0e0b217ac5bc1115e3d8b8018f9	1613823143					
216	0x00503cedc5438bea15a8a5644c95231c75645dc428a85b7a1b09076cacb1303f	2021-02-20 12:12:59	recvd	mooAutoBusdFixed	5058.383385560616	0x559c88946e1958812dcfd8edd4f89b0c7d811f74	1613823179					
217	0x00503cedc5438bea15a8a5644c95231c75645dc428a85b7a1b09076cacb1303f	2021-02-20 12:12:59	sent	BUSD	5083.4821003390925	0xe9e7cea3dedca5984780bafc599bd69add087d56	1613823179	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
218	0x648d3e58cf0efd0879541313dee1968623df1edb42edb8c9981dd70bb566dc8a	2021-02-23 10:49:11	recvd	AUTO	0.1503113122363665	0xa184088a740c695e156f91f5cc086a06bb78b827	1614077351					
219	0x648d3e58cf0efd0879541313dee1968623df1edb42edb8c9981dd70bb566dc8a	2021-02-23 10:49:11	recvd	BTCB	0.6455385248620974	0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c	1614077351	BTCB	Bitcoin	BBTC	Binance Bridge	0x9be89d2a4cd102d8fecc6bf9da793be995c22541
220	0xf95ebd09d029741a6a45e145b988c6223e67958cb8aaf9a21fb6f7e3a56973b4	2021-02-23 10:51:20	sent	BTCB	0.6455385248620974	0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c	1614077480	BTCB	Bitcoin	BBTC	Binance Bridge	0x9be89d2a4cd102d8fecc6bf9da793be995c22541
221	0x0c8f77c5867328a91e487c69473561269b88150e69eebfa28097615a7feebe0d	2021-02-26 11:56:37	recvd	BUSD	1402.8625575438346	0xe9e7cea3dedca5984780bafc599bd69add087d56	1614340597	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
222	0x0c8f77c5867328a91e487c69473561269b88150e69eebfa28097615a7feebe0d	2021-02-26 11:56:37	sent	mooAutoBusd	1320.1803919677684	0xbd198f5132631e597518529268000a0199f07492	1614340597					
223	0xe88c58bec29aecbe46c0cebe55110573771379960d87a2821a789a506dc0ea41	2021-02-26 11:57:25	recvd	mooAutoBusdFixed	985.5087940198263	0x559c88946e1958812dcfd8edd4f89b0c7d811f74	1614340645					
224	0xe88c58bec29aecbe46c0cebe55110573771379960d87a2821a789a506dc0ea41	2021-02-26 11:57:25	sent	BUSD	1000.0	0xe9e7cea3dedca5984780bafc599bd69add087d56	1614340645	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
225	0x30d5bc473cec8d5275857b4a05563835c7443d49c0daa7b1364d0097199e4d92	2021-02-26 11:58:40	sent	BUSD	402.8625575438346	0xe9e7cea3dedca5984780bafc599bd69add087d56	1614340720	BUSD	BUSD	BUSD	Binance Bridge	0x4fabb145d64652a948d72533023f6e7a623c7c53
226	0x874ec7cc8c4b2403f717e0ab84386b1f3cc3a9c8d2a9089e326e9e8fedb772cf	2021-02-26 12:04:22	recvd	XVS	8.60798	0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63	1614341062					
227	0x4973c94fb59da8687b53dcd2a36c85a13f0eadabad0a2c32a1ef603c11dd536a	2021-02-26 12:06:10	recvd	Cake-LP	4.248770604983083	0x41182c32f854dd97ba0e0b1816022e0acb2fc0bb	1614341170					
228	0x4973c94fb59da8687b53dcd2a36c85a13f0eadabad0a2c32a1ef603c11dd536a	2021-02-26 12:06:10	sent	XVS	9.662655629748105	0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63	1614341170					
229	0x6d16067abe7488d77e5698a4d68ebdd53fe76059a124e339dd84d5484b4a38e6	2021-02-26 12:07:01	recvd	mooPancakeXVS-BNB	3.549713210899327	0xbb63c8858b64a856d79a80575df60867622e4782	1614341221					
230	0x6d16067abe7488d77e5698a4d68ebdd53fe76059a124e339dd84d5484b4a38e6	2021-02-26 12:07:01	sent	Cake-LP	4.248770604983083	0x41182c32f854dd97ba0e0b1816022e0acb2fc0bb	1614341221					
231	0x93a09da6c02dfe94297b88ef8ee3bd0ebf9531a7aca4563de9b2d80e5d8171c4	2021-02-28 06:37:27	recvd	AUTO	0.3285426348285074	0xa184088a740c695e156f91f5cc086a06bb78b827	1614494247					
232	0x93a09da6c02dfe94297b88ef8ee3bd0ebf9531a7aca4563de9b2d80e5d8171c4	2021-02-28 06:37:27	recvd	ETH	1.7370862981984447	0x2170ed0880ac9a755fd29b2688956bd959f933f8	1614494247	ETH	Ethereum	ETH	Binance Bridge	
233	0x795c76f44dfe3a1a0b10ceb49e1e2f26407b3ba738b3ede529cc452a49dc2f5a	2021-02-28 06:38:00	recvd	AUTO	0.397766123244776	0xa184088a740c695e156f91f5cc086a06bb78b827	1614494280					
234	0x795c76f44dfe3a1a0b10ceb49e1e2f26407b3ba738b3ede529cc452a49dc2f5a	2021-02-28 06:38:00	recvd	Cake-LP	200.17957293427528	0xc5b0d73a7c0e4eaf66babf7ee16a2096447f7ad6	1614494280					
235	0x44eec59d43748ee180852e954690c7f0d689d73abae8a47cc059dc919622bd55	2021-02-28 06:38:18	recvd	AUTO	0.98565190211652	0xa184088a740c695e156f91f5cc086a06bb78b827	1614494298					
236	0x44eec59d43748ee180852e954690c7f0d689d73abae8a47cc059dc919622bd55	2021-02-28 06:38:18	recvd	Cake-LP	44.226124485135614	0x74690f829fec83ea424ee1f1654041b2491a7be9	1614494298					
237	0xd62cd6a115edb66b7c551e72b616808190a889dfc3591ebcd51451d5831177a1	2021-02-28 06:41:21	recvd	mooBdollarBDO-BNB	19.58069142959958	0x9355af5abd030e8bc2dc63a38f1c956f1e150308	1614494481					
238	0xd62cd6a115edb66b7c551e72b616808190a889dfc3591ebcd51451d5831177a1	2021-02-28 06:41:21	sent	Cake-LP	44.226124485135614	0x74690f829fec83ea424ee1f1654041b2491a7be9	1614494481					
239	0xf34f6e267163cd5e758060ee8ab3c53459119ebe0dda13828d56c5b92bcd3728	2021-02-28 06:42:27	recvd	mooBdollarBDO-BNB	0.0	0x9355af5abd030e8bc2dc63a38f1c956f1e150308	1614494547					
